,industry,naics,emp13_bay,emp16_bay,emp13_usa,emp16_usa,natl_growth_rate,natl_growth_share,natl_industry_growth_rate,industry_mix,local_industry_growth_rate,local_competitiveness,local_emp_delta
0,114///,114///,4,19,22172,34616,0.15140067138634017,0.6056026855453607,0.5612484214324374,1.6393910001843888,3.75,12.75500631427025,15
1,115///,115///,1381,1860,1363524,2007361,0.15140067138634017,209.08432718453577,0.4721860414631499,443.0045960760742,0.34685010861694426,-173.08892326061,479
2,212///,212///,281,460,1794183,2234523,0.15140067138634017,42.543588659561586,0.24542646987514652,26.421249375354584,0.6370106761565836,110.03516196508382,179
3,213///,213///,76,147,6287956,4550496,0.15140067138634017,11.506451025361853,-0.2763155467372863,-32.506432577395614,0.9342105263157895,91.99998155203376,71
4,221///,221///,6483,4983,5330120,11588404,0.15140067138634017,981.5305525976434,1.1741356667392104,6630.390974872657,-0.23137436372049977,-9111.9215274703,-1500
5,236///,236///,38562,46397,34084708,41897477,0.15140067138634017,5838.31269000005,0.22921625146385294,3000.7243989490476,0.20317929567968465,-1004.0370889490974,7835
6,237///,237///,14245,15840,19703946,24896184,0.15140067138634017,2156.7025638984155,0.2635125979334292,1597.034393663283,0.11196911196911197,-2158.7369575616985,1595
7,238///,238///,99136,119209,109704745,129899368,0.15140067138634017,15009.25695855622,0.18408158188599774,3239.854743294053,0.20247942220787604,1823.8882981497272,20073
8,311///,311///,23433,24624,24698108,31220770,0.15140067138634017,3547.7719325961093,0.264095614125584,2640.7805932087012,0.05082575854564076,-4997.552525804811,1191
9,312///,312///,15851,19299,1397355,2419058,0.15140067138634017,2399.852042144878,0.7311692447516915,9189.911656414184,0.21752570815721406,-8141.7636985590625,3448
10,313///,313///,93,117,378491,524902,0.15140067138634017,14.080262438929635,0.38682822048608817,21.894762066276563,0.25806451612903225,-11.9750245052062,24
11,314///,314///,674,879,749912,920248,0.15140067138634017,102.04405251439327,0.22714131791463532,51.04919576007093,0.30415430267062316,51.9067517255358,205
12,315///,315///,1656,1653,848796,799706,0.15140067138634017,250.71951181577933,-0.057834862558258995,-346.4940442122562,-0.0018115942028985507,92.7745323964769,-3
13,316///,316///,49,254,41530,51459,0.15140067138634017,7.418632897930668,0.23908018300024078,4.29629606908113,4.183673469387755,193.2850710329882,205
14,321///,321///,1561,2171,5221562,7687367,0.15140067138634017,236.336448034077,0.472235128109175,500.8225869443452,0.39077514413837283,-127.1590349784222,610
15,322///,322///,2163,2225,2120697,2749662,0.15140067138634017,327.47965220865376,0.29658409475752545,314.03174475187376,0.028663892741562644,-579.5113969605275,62
16,323///,323///,7908,7422,8398633,8944455,0.15140067138634017,1197.276509323178,0.06498938577266086,-683.340446632976,-0.061456752655538696,-999.9360626902022,-486
17,324///,324///,3362,3886,274767,515234,0.15140067138634017,509.00905720087565,0.8751669596421695,2433.302261116098,0.15585960737656157,-2418.311318316974,524
18,325///,325///,10533,11507,9846200,12007775,0.15140067138634017,1594.7032717123209,0.21953393187219436,717.6476326975022,0.09247128073673218,-1338.350904409823,974
19,326///,326///,3571,4746,9117465,11338194,0.15140067138634017,540.6517975206208,0.2435686893231836,329.13199205246787,0.3290394847381686,305.21621042691135,1175
20,327///,327///,5034,5999,5889409,7885532,0.15140067138634017,762.1509797588365,0.33893434808144585,944.044528483162,0.19169646404449742,-741.1955082419984,965
21,331///,331///,1707,1527,2627383,3219508,0.15140067138634017,258.4409460564827,0.22536683840916988,126.26024710797032,-0.1054481546572935,-564.701193164453,-180
22,332///,332///,21727,22427,32713288,35565641,0.15140067138634017,3289.482387211013,0.08719248887485721,-1395.05118142699,0.03221797763151839,-1194.4312057840227,700
23,333///,333///,11518,11896,17168639,20090052,0.15140067138634017,1743.8329330278661,0.17015984784816082,216.06819448725028,0.032818197603750654,-1581.9011275151163,378
24,334///,334///,61467,61552,9793083,10611457,0.15140067138634017,9306.145068104172,0.08356653364420581,-4169.5609445957725,0.0013828558413457627,-5051.584123508399,85
25,335///,335///,5559,8420,2340164,2987774,0.15140067138634017,841.636332236665,0.27673701501262304,696.7447342185066,0.5146609102356539,1322.6189335448282,2861
26,336///,336///,236,1162,13387554,20167913,0.15140067138634017,35.73055844717628,0.5064673501970561,83.79573619932897,3.9237288135593222,806.4737053534948,926
27,337///,337///,3927,4856,4953649,6332557,0.15140067138634017,594.5504365341578,0.2783620720806016,498.5774205263646,0.23656735421441305,-164.12785706052242,929
28,339///,339///,11500,14057,9067639,10981751,0.15140067138634017,1741.107720942912,0.2110926559824448,686.4578228552034,0.22234782608695652,129.4344562018847,2557
29,423///,423///,138170,137612,100560729,106052187,0.15140067138634017,20919.03076545062,0.05460837500491867,-13373.791591021009,-0.0040385032930448,-8103.239174429613,-558
30,424///,424///,57925,55957,67108459,73965880,0.15140067138634017,8769.883890053754,0.102184152373399,-2850.8668638246168,-0.033974967630556754,-7887.017026229137,-1968
31,425///,425///,7761,7658,5675968,7015178,0.15140067138634017,1175.020610629386,0.23594389538489294,656.139961452768,-0.013271485633294678,-1934.160572082154,-103
32,441///,441///,31293,35462,53459385,60789539,0.15140067138634017,4737.781209692743,0.1371163173687838,-447.0002902713916,0.13322468283641709,-121.7809194213515,4169
33,442///,442///,10847,11032,10705931,12030798,0.15140067138634017,1642.2430825276317,0.12375075086884083,-299.91868785331536,0.017055407024983867,-1157.3243946743164,185
34,443///,443///,12469,11524,8863132,9618295,0.15140067138634017,1887.8149715162756,0.085202725176608,-825.4221912891504,-0.07578795412623306,-2007.392780227125,-945
35,444///,444///,24985,26585,36426699,41734263,0.15140067138634017,3782.745774587709,0.14570532454779941,-142.29824076094076,0.0640384230538323,-2040.4475338267684,1600
36,445///,445///,75467,81498,88358793,102931218,0.15140067138634017,11425.754467512934,0.1649233144232742,1020.5133020683012,0.07991572475386592,-6415.267769581235,6031
37,446///,446///,22259,23229,29838012,32337386,0.15140067138634017,3370.0275443885457,0.08376476288031522,-1505.5076874356093,0.043577878610898964,-894.5198569529364,970
38,447///,447///,9149,9720,25540238,29569304,0.15140067138634017,1385.1647425136262,0.15775365914757725,58.123485027558026,0.06241119248005247,-872.2882275411841,571
39,448///,448///,51797,51557,45042295,46367523,0.15140067138634017,7842.100575798262,0.029421857833842616,-6318.136605578716,-0.004633472981060679,-1763.963970219546,-240
40,451///,451///,13322,13834,12952672,14221344,0.15140067138634017,2016.9597442088236,0.09794674025560132,-712.1132705237029,0.038432667767602464,-792.8464736851208,512
41,452///,452///,44144,45398,63544828,83314342,0.15140067138634017,6683.4312376786,0.311111299254756,7050.265956623349,0.02840703153316419,-12479.697194301949,1254
42,453///,453///,17406,18722,21373446,23606721,0.15140067138634017,2635.280086150637,0.1044882982369806,-816.5567670377527,0.07560611283465472,-502.7233191128841,1316
43,454///,454///,16989,23717,15163933,18513109,0.15140067138634017,2572.1460061825333,0.22086460023267052,1180.1226871703063,0.39602095473541704,2975.7313066471606,6728
44,481///,481///,16691,22192,2049997,4970982,0.15140067138634017,2527.028606109404,1.424872816887049,21255.52358055233,0.3295788149302019,-18281.552186661735,5501
45,483///,483///,1539,2203,138194,193036,0.15140067138634017,233.00563326357752,0.3968479094606133,377.7432993963064,0.4314489928525016,53.25106734011606,664
46,484///,484///,14047,14477,38898416,44199722,0.15140067138634017,2126.7252309639202,0.13628590943137633,-212.31706118137697,0.03061151847369545,-1484.4081697825434,430
47,485///,485///,10884,12670,8896359,10400703,0.15140067138634017,1647.8449073689264,0.1690965933366673,192.60241450736044,0.16409408305769937,-54.44732187628684,1786
48,487///,487///,829,1538,187709,232713,0.15140067138634017,125.511156579276,0.23975408744386256,73.24498191168607,0.8552472858866104,510.24386150903797,709
49,488///,488///,17558,17647,13645753,16075666,0.15140067138634017,2658.2929882013605,0.17807100861344918,468.2777810335801,0.005068914454949311,-3037.5707692349406,89
50,492///,492///,12121,16920,6002547,8535727,0.15140067138634017,1835.1275378738292,0.4220175202293293,3280.1468248258716,0.3959244286775019,-316.2743626997003,4799
51,493///,493///,4552,6680,8957487,12228478,0.15140067138634017,689.1758561506205,0.36516837813998504,973.0706011425915,0.46748681898066785,465.75354270678815,2128
52,511///,511///,70873,95651,21729506,26578178,0.15140067138634017,10730.219783164086,0.22313770041527867,5084.218458367958,0.34961127650868457,8963.561758467957,24778
53,512///,512///,9653,10805,5939903,9038490,0.15140067138634017,1461.4706808923418,0.5216561617251999,3574.076248241013,0.11934113747021652,-3883.5469291333548,1152
54,515///,515///,3122,3915,4635551,4872192,0.15140067138634017,472.672896068154,0.051049163303348404,-313.29740823510025,0.25400384368994233,633.6245121669463,793
55,517///,517///,21477,28404,26040666,30384312,0.15140067138634017,3251.632219364428,0.16680241588291175,330.78326655286793,0.322531079759743,3344.5845140827046,6927
56,518///,518///,25742,45244,4740262,5607185,0.15140067138634017,3897.356082827169,0.1828850388438445,810.4705870910764,0.7575945924947557,14794.173330081758,19502
57,519///,519///,16207,83293,2055102,3522418,0.15140067138634017,2453.7506811584153,0.7139869456601181,9117.835747155119,4.139322514962671,55514.41357168647,67086
58,522///,522///,69548,76648,84374074,92301584,0.15140067138634017,10529.613893577187,0.0939567052315146,-3995.1129581358086,0.10208776672226376,565.4990645586224,7100
59,523///,523///,31889,35993,21938510,23932778,0.15140067138634017,4828.0160098390015,0.09090261827261742,-1929.2224157435048,0.12869641569193138,1205.2064059045028,4104
60,524///,524///,36394,41313,69850147,86086874,0.15140067138634017,5510.076034434464,0.23245086370398046,2949.740699208201,0.13515964169918118,-3540.816733642665,4919
61,525///,525///,29,171,11705,15998,0.15140067138634017,4.390619470203865,0.3667663391712943,6.24560436576367,4.896551724137931,131.36377616403246,142
62,531///,531///,45006,48773,44754313,49631083,0.15140067138634017,6813.938616413626,0.10896759827371275,-1909.7428885069098,0.08369995111762876,-1137.1957279067158,3767
63,532///,532///,11193,12329,11563045,13125011,0.15140067138634017,1694.6277148273055,0.13508258421548996,-182.64834970332635,0.10149200393102832,-375.97936512397916,1136
64,533///,533///,895,821,131387,164117,0.15140067138634017,135.50360089077446,0.24911140371574053,87.45110543481333,-0.08268156424581005,-296.9547063255877,-74
65,541///,541///,367078,401078,267595711,293759112,0.15140067138634017,55575.855651154976,0.097772123858891,-19685.859969280984,0.09262336615106326,-1889.995681873993,34000
66,551///,551///,102127,137858,65917511,74823391,0.15140067138634017,15462.096366672762,0.13510643628519287,-1664.0813481748705,0.3498683012327788,21932.984981502108,35731
67,561///,561///,185673,192599,342129697,427916839,0.15140067138634017,28111.01685831594,0.2507445064027868,18445.46787900869,0.037302138706220074,-39630.48473732463,6926
68,562///,562///,12517,13190,8319514,9572918,0.15140067138634017,1895.08220374282,0.15065831970473276,-9.292015998679972,0.053766877047215784,-1212.79018774414,673
69,611///,611///,111768,121136,88637597,99690834,0.15140067138634017,16921.750239508467,0.12470145146195694,-2984.118412508465,0.08381647698804667,-4569.631827000002,9368
70,621///,621///,154986,176854,208068469,232306377,0.15140067138634017,23464.984455483318,0.11649005789531715,-5410.656342519694,0.14109661517814512,3813.6718870363757,21868
71,622///,622///,107619,117782,99883054,118072870,0.15140067138634017,16293.588853926543,0.18211113168405924,3305.0290267802284,0.09443499753760953,-9435.61788070677,10163
72,623///,623///,56093,57972,99256837,106423785,0.15140067138634017,8492.517860073978,0.07220608893672484,-4442.261713346273,0.033497940919544326,-2171.2561467277064,1879
