,Industry,Location Quotient
0,113///,0.01
1,115///,0.84
2,212///,0.16
3,221///,0.44
4,236///,1.26
5,237///,0.63
6,238///,1.05
7,311///,0.73
8,313///,0.07
9,314///,0.41
10,321///,0.24
11,322///,0.36
12,323///,0.66
13,326///,0.27
14,327///,0.68
15,332///,0.59
16,333///,0.47
17,335///,1.4
18,336///,0.04
19,339///,1.05
20,423///,1.41
21,424///,0.85
22,425///,0.98
23,441///,0.64
24,442///,0.88
25,443///,1.1
26,444///,0.71
27,445///,0.92
28,446///,0.79
29,447///,0.37
30,448///,1.05
31,451///,0.87
32,452///,0.58
33,453///,0.85
34,454///,1.39
35,484///,0.36
36,485///,0.95
37,486///,0.17
38,488///,0.94
39,512///,0.91
40,517///,0.99
41,518///,3.83
42,519///,11.32
43,522///,0.96
44,523///,1.42
45,524///,0.58
46,531///,1.11
47,532///,0.87
48,541///,1.62
49,551///,1.51
50,561///,0.61
51,562///,1.31
52,611///,1.22
53,621///,0.87
54,622///,0.96
55,623///,0.6
56,624///,0.9
57,712///,1.55
58,713///,0.97
59,721///,0.96
60,722///,0.97
61,811///,0.95
62,812///,1.07
63,813///,0.78
64,114///,0.15
65,211///,0.01
66,213///,0.02
67,312///,4.35
68,315///,0.79
69,325///,0.65
70,331///,0.22
71,334///,3.21
72,337///,0.58
73,483///,1.68
74,487///,2.24
75,492///,1.25
76,493///,0.35
77,511///,3.95
78,515///,0.58
79,525///,1.68
80,533///,1.27
81,711///,1.24
82,481///,1.87
83,324///,2.49
84,316///,1.14
