,2017 NAICS Title,2017 NAICS Code,2012 NAICS Code,2007 NAICS Code,2002 NAICS Code,1997 NAICS Code
0,Soybean Farming,111110,111110,111110,111110,111110
1,Oilseed (except Soybean) Farming,111120,111120,111120,111120,111120
2,Dry Pea and Bean Farming,111130,111130,111130,111130,111130
3,Wheat Farming,111140,111140,111140,111140,111140
4,Corn Farming,111150,111150,111150,111150,111150
5,Rice Farming,111160,111160,111160,111160,111160
6,Oilseed and Grain Combination Farming,111191,111191,111191,111191,111191
7,All Other Grain Farming,111199,111199,111199,111199,111199
8,Potato Farming,111211,111211,111211,111211,111211
9,Potato Farming,111211,111211,111211,111219,111219
10,Other Vegetable (except Potato) and Melon Farming,111219,111219,111219,111219,111219
11,Orange Groves,111310,111310,111310,111310,111310
12,Citrus (except Orange) Groves,111320,111320,111320,111320,111320
13,Apple Orchards,111331,111331,111331,111331,111331
14,Grape Vineyards,111332,111332,111332,111332,111332
15,Strawberry Farming,111333,111333,111333,111333,111333
16,Berry (except Strawberry) Farming,111334,111334,111334,111334,111334
17,Tree Nut Farming,111335,111335,111335,111335,111335
18,Fruit and Tree Nut Combination Farming,111336,111336,111336,111336,111336
19,Other Noncitrus Fruit Farming,111339,111339,111339,111339,111339
20,Mushroom Production,111411,111411,111411,111411,111411
21,Other Food Crops Grown Under Cover,111419,111419,111419,111419,111419
22,Nursery and Tree Production,111421,111421,111421,111421,111421
23,Floriculture Production,111422,111422,111422,111422,111422
24,Tobacco Farming,111910,111910,111910,111910,111910
25,Cotton Farming,111920,111920,111920,111920,111920
26,Sugarcane Farming,111930,111930,111930,111930,111930
27,Hay Farming,111940,111940,111940,111940,111940
28,Sugar Beet Farming,111991,111991,111991,111991,111991
29,Peanut Farming,111992,111992,111992,111992,111992
30,All Other Miscellaneous Crop Farming,111998,111998,111998,111998,111998
31,Other Aquaculture,112519,112519,112519,111998,111998
32,Beef Cattle Ranching and Farming,112111,112111,112111,112111,112111
33,Cattle Feedlots,112112,112112,112112,112112,112112
34,Dairy Cattle and Milk Production,112120,112120,112120,112120,112120
35,Dual-Purpose Cattle Ranching and Farming,112130,112130,112130,112130,112130
36,Hog and Pig Farming,112210,112210,112210,112210,112210
37,Chicken Egg Production,112310,112310,112310,112310,112310
38,Broilers and Other Meat Type Chicken Production,112320,112320,112320,112320,112320
39,Turkey Production,112330,112330,112330,112330,112330
40,Poultry Hatcheries,112340,112340,112340,112340,112340
41,Other Poultry Production,112390,112390,112390,112390,112390
42,Sheep Farming,112410,112410,112410,112410,112410
43,Goat Farming,112420,112420,112420,112420,112420
44,Finfish Farming and Fish Hatcheries,112511,112511,112511,112511,112511
45,Shellfish Farming,112512,112512,112512,112512,112512
46,Other Aquaculture,112519,112519,112519,112519,112519
47,Apiculture,112910,112910,112910,112910,112910
48,Horses and Other Equine Production,112920,112920,112920,112920,112920
49,Fur-Bearing Animal and Rabbit Production,112930,112930,112930,112930,112930
50,All Other Animal Production,112990,112990,112990,112990,112990
51,Timber Tract Operations,113110,113110,113110,113110,113110
52,Forest Nurseries and Gathering of Forest Products,113210,113210,113210,113210,113210
53,Logging,113310,113310,113310,113310,113310
54,Finfish Fishing,114111,114111,114111,114111,114111
55,Shellfish Fishing,114112,114112,114112,114112,114112
56,Other Marine Fishing,114119,114119,114119,114119,114119
